Train,Start Time DEB,Start Date DEB,Start Time FOR,Start Date FOR,Start Time DEG,Start Date DEG
"('DEP', 44247, 9515)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44559, 9368)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47820, 9542)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 9011)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 8879)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54053, 9578)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54055, 8730)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 8870)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400014, 11267)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 10982)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431121, 10421)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 450226, 10520)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 10451)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 10319)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 10414)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 10310)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 10929)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 41258, 11683)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 11899)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489044, 11650)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 11854)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 412124, 13153)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431113, 13620)",,,21:15,14/08/2022,00:00,15/08/2022
